FULLNAME,GENDERIDENTITY,BIRTHDATE,AGE,SIGNUPDATE,MEMBERSHIPLABEL,MEMBERSHIPCATEGORY,STATUS,BEGINDATE,ENDDATE,AUTORENEW,DROPREASON,INCOMECATEGORY,LASTATTDATE,ATTTOTAL,AUTOPAY,TOTALPAYMENTAMOUNT,TOTALDURATIONDAYS,MEMBERSHIPCOUNT,MEMBERSHIPTYPE
Jillian Roach,Male,04/14/1987,38,12/29/2021,Peak Season Promo,Seasonal,Active,07/25/2022,08/03/2023,Yes,Relocation,Starter Bundle,03/29/2025,1,ON,3123,374,4,Referral
Kevin Mckee,Male,02/20/1993,32,11/28/2020,Starter Pass,Monthly,Active,08/02/2021,12/31/2022,Yes,Schedule Conflicts,Standard Plan,05/05/2025,0,OFF,3010,516,7,Upgraded
Deborah Lee,Male,12/19/1985,39,09/22/2023,Starter Pass,Annual,Trialing,08/08/2024,03/25/2026,Yes,Facility Dissatisfaction,Legacy Plan,11/19/2024,5,ON,5142,594,7,Reactivated
Brittany Simmons,Female,07/01/1991,33,05/08/2018,Peak Season Promo,Flex Plan,Guest,02/18/2019,02/16/2021,Yes,Financial Constraints,Standard Plan,04/26/2024,3,ON,5122,729,5,Upgraded
Joseph Mckinney,Female,05/29/1987,38,01/24/2022,Peak Season Promo,Basic,Guest,08/05/2022,12/15/2023,No,Relocation,Flexi Tier,10/13/2024,5,ON,798,497,7,Reactivated
Sara Shannon,Female,02/22/1986,39,12/31/2021,Momentum Membership,Annual,Active,08/01/2022,09/21/2023,No,Schedule Conflicts,Premium Pass,03/10/2025,1,ON,1934,416,7,Gifted
Amanda Jones,Female,02/28/1981,44,09/10/2015,Peak Season Promo,Monthly,Suspended,05/16/2016,03/17/2018,Yes,Relocation,Premium Pass,12/09/2017,1,ON,4641,670,6,FirstTime
Monica Hale,Male,04/14/1995,30,09/30/2021,Starter Pass,Monthly,Active,07/31/2022,03/29/2024,No,Schedule Conflicts,Velocity Tier,12/01/2022,2,ON,2677,607,5,Referral
Chelsea Fitzgerald,Non-binary,12/09/1975,49,07/18/2019,Starter Pass,Trial,Active,03/03/2020,04/12/2021,Yes,Lack of Results,Standard Plan,01/01/2023,0,OFF,2569,405,3,FirstTime
Mr. Matthew Gibson MD,Male,07/10/1977,47,10/31/2023,Wellness Bundle,Trial,Paused,10/26/2024,02/06/2026,Yes,Personal Reasons,Starter Bundle,03/06/2025,4,ON,772,468,6,Upgraded
Michael Taylor,Male,04/01/1946,79,01/16/2018,Wellness Bundle,Trial,Suspended,01/23/2019,11/30/2019,No,Injury,Legacy Plan,01/03/2023,1,ON,5419,311,5,FirstTime
Rebecca Schultz,Male,12/09/2007,17,04/10/2023,Peak Season Promo,Monthly,Active,12/10/2023,01/21/2026,Yes,Injury,Flexi Tier,04/06/2024,3,OFF,1635,773,6,Referral
Stacey Lee,Female,11/28/1950,74,09/21/2018,Peak Season Promo,Monthly,Active,09/17/2019,10/26/2020,No,,Starter Bundle,04/20/2022,0,OFF,5429,405,5,Renewed
Jordan White DDS,Female,01/10/1995,30,06/24/2024,Wellness Bundle,Single Use,Paused,06/22/2025,03/17/2027,Yes,Facility Dissatisfaction,Premium Pass,06/22/2025,0,OFF,3796,633,6,Upgraded
Janice Poole,Male,03/01/1989,36,07/04/2022,Peak Season Promo,Premium,Active,07/30/2023,07/21/2024,Yes,Lack of Results,Flexi Tier,05/05/2025,4,OFF,3269,357,7,Renewed
Bradley Mckenzie,Male,09/04/1970,54,11/13/2022,Starter Pass,Monthly,Paused,07/25/2023,08/30/2024,Yes,,Infinity Pass,11/21/2024,3,ON,2964,402,5,FirstTime
Tracy Quinn,Male,02/07/2005,20,06/01/2015,Momentum Membership,Trial,Trialing,02/14/2016,09/13/2017,Yes,Relocation,Standard Plan,12/17/2018,1,ON,5339,577,6,Upgraded
Ryan Morales,Non-binary,08/24/1989,35,12/10/2016,Monthly Plus,Monthly,Active,10/09/2017,09/17/2018,No,,Legacy Plan,07/04/2024,2,ON,3174,343,4,FirstTime
Sharon Tapia,Female,10/20/2002,22,11/20/2023,Peak Season Promo,Annual,Active,10/02/2024,02/14/2026,Yes,Facility Dissatisfaction,Standard Plan,02/05/2025,0,ON,3443,500,5,Renewed
Brandon Brandt,Non-binary,01/03/1973,52,12/01/2018,Starter Pass,Monthly,Active,06/30/2019,07/04/2020,No,Personal Reasons,Standard Plan,02/17/2023,0,ON,3649,370,7,Reactivated
David Johnson,Female,07/20/1981,43,07/24/2015,Zen Trial,Basic,Active,01/28/2016,12/19/2017,No,Personal Reasons,Starter Bundle,12/30/2021,5,OFF,2922,691,3,Reactivated
Megan Kidd,Male,06/01/1982,43,01/22/2024,Flexi Access,Annual,Active,12/13/2024,05/23/2026,Yes,Relocation,Flexi Tier,12/14/2024,4,OFF,2437,526,4,Referral
Dr. Alex Rice,Male,12/01/1970,54,01/23/2023,Momentum Membership,Monthly,Inactive,08/09/2023,05/12/2025,Yes,Health Issues,Starter Bundle,08/01/2024,0,ON,3468,642,3,Reactivated
Colleen Aguilar,Female,05/08/1960,65,08/14/2025,Spring Event,Single Use,Active,08/02/2026,12/28/2027,Yes,Schedule Conflicts,Standard Plan,08/02/2026,5,ON,2047,513,3,Upgraded
James Park,Male,08/18/1987,37,11/09/2018,Starter Pass,Annual,Active,12/10/2019,02/04/2021,Yes,Lack of Results,Wellness Plan,01/12/2020,4,ON,734,422,7,Renewed
Adam Baldwin MD,Male,04/11/1987,38,11/24/2023,Starter Pass,Single Use,Suspended,07/02/2024,09/24/2025,Yes,Lack of Results,Flexi Tier,12/02/2024,2,ON,1635,449,5,Reactivated
Andrew Decker,Male,09/11/1979,45,04/14/2016,Starter Pass,Trial,Active,11/16/2016,12/08/2018,Yes,Financial Constraints,Standard Plan,01/15/2024,3,ON,4704,752,7,Transferred
Kimberly Williams,Male,08/29/1948,76,05/16/2024,Zen Trial,Monthly,Completed,12/07/2024,11/04/2025,Yes,Financial Constraints,Wellness Plan,06/06/2025,4,ON,3029,332,3,FirstTime
Anthony Mckinney,Male,03/03/1986,39,01/03/2015,Peak Season Promo,Annual,Active,12/02/2015,01/11/2018,Yes,,Starter Bundle,03/17/2016,2,ON,762,771,4,Upgraded
Heather Cherry,Female,01/01/1995,30,01/08/2016,Starter Pass,Monthly,Inactive,10/30/2016,03/12/2018,Yes,Facility Dissatisfaction,Infinity Pass,04/02/2021,4,ON,3540,498,3,Referral
Edward Marsh,Female,08/06/1969,55,06/24/2020,Wellness Bundle,Single Use,Active,01/23/2021,09/25/2022,Yes,Financial Constraints,Velocity Tier,06/09/2023,0,ON,5016,610,4,Reactivated
Patricia Richard,Female,07/11/1983,41,11/07/2019,Peak Season Promo,Monthly,Active,10/05/2020,09/01/2021,No,Financial Constraints,Flexi Tier,04/08/2022,0,ON,4800,331,6,FirstTime
James Watson,Male,06/24/1962,62,12/30/2025,Wellness Bundle,Annual,Inactive,10/19/2026,11/19/2027,Yes,Relocation,Wellness Plan,10/19/2026,2,ON,3084,396,3,Renewed
Nicole Silva,Female,12/10/1990,34,11/14/2017,Momentum Membership,Monthly,Inactive,06/30/2018,02/08/2020,No,Health Issues,Flexi Tier,07/28/2024,5,ON,4817,588,3,Reactivated
Brandon Wilson,Female,06/17/2008,17,07/01/2022,Wellness Bundle,Monthly,Suspended,02/12/2023,02/02/2025,No,Relocation,Flexi Tier,12/04/2023,2,OFF,5120,721,6,Referral
Steven Collins,Male,06/21/1986,38,04/24/2020,Spring Event,Annual,Inactive,10/23/2020,10/25/2021,Yes,,Starter Bundle,12/07/2024,5,OFF,853,367,7,Renewed
Johnny Baker,Male,07/11/2002,22,03/15/2025,Starter Pass,Annual,Active,01/08/2026,07/04/2027,No,Schedule Conflicts,Velocity Tier,01/08/2026,4,OFF,1909,542,7,Referral
Tony Cole,Female,06/06/1946,79,07/04/2021,Peak Season Promo,Annual,Active,01/18/2022,11/05/2023,Yes,Financial Constraints,Flexi Tier,05/04/2022,1,ON,5420,656,4,FirstTime
Melissa Dickson,Female,08/21/1963,61,02/06/2021,Wellness Bundle,Trial,Active,09/05/2021,08/23/2022,Yes,Schedule Conflicts,Infinity Pass,10/14/2022,5,ON,4640,352,5,Reactivated
Gary Johnson,Male,05/05/1995,30,11/08/2019,Peak Season Promo,Annual,Paused,08/29/2020,12/10/2021,Yes,Financial Constraints,Premium Pass,12/25/2024,3,ON,5827,468,3,Reactivated
Amanda Lopez,Female,07/19/1990,34,04/01/2017,Wellness Bundle,Premium,Inactive,01/22/2018,12/05/2019,Yes,Relocation,Starter Bundle,03/17/2021,0,ON,877,682,3,Upgraded
Christina Baxter,Female,08/03/1977,47,07/29/2024,Momentum Membership,Premium,Active,03/03/2025,05/03/2027,Yes,Relocation,Standard Plan,03/26/2025,4,ON,2797,791,3,Gifted
Matthew Ortega,Female,02/07/1967,58,10/07/2017,Peak Season Promo,Monthly,Active,09/07/2018,08/20/2019,Yes,Health Issues,Flexi Tier,03/18/2024,1,ON,5237,347,7,FirstTime
Frank Moran,Male,02/04/1954,71,12/02/2024,Peak Season Promo,Monthly,Paused,06/06/2025,06/29/2026,No,Financial Constraints,Premium Pass,06/10/2025,0,ON,1519,388,6,Referral
Amanda Gonzalez,Male,08/08/1961,63,08/21/2018,Gold Promo,Trial,Inactive,06/02/2019,04/16/2020,No,Lack of Results,Premium Pass,01/02/2021,2,ON,613,319,5,Reactivated
Jon Peters,Female,05/29/1983,42,11/28/2019,Momentum Membership,Annual,Active,07/22/2020,05/24/2021,No,,Infinity Pass,09/16/2021,3,ON,2295,306,6,Referral
James Lynn,Male,03/26/1974,51,12/31/2020,Momentum Membership,Annual,Active,12/26/2021,03/13/2023,Yes,Financial Constraints,Standard Plan,01/07/2024,4,ON,1416,442,5,Renewed
Erika Jones,Female,12/20/2000,24,02/10/2019,Peak Season Promo,Single Use,Inactive,11/03/2019,09/18/2021,Yes,Schedule Conflicts,Standard Plan,04/12/2025,3,ON,961,685,5,Renewed
Michael Irwin,Male,01/01/1966,59,03/14/2019,Starter Pass,Monthly,Trialing,02/07/2020,01/24/2021,Yes,Health Issues,Infinity Pass,04/20/2021,0,ON,5338,352,5,FirstTime
Breanna Smith,Female,12/27/1963,61,06/06/2025,Starter Pass,Trial,Pending,06/30/2026,12/11/2027,Yes,Facility Dissatisfaction,Standard Plan,06/30/2026,3,ON,5550,529,5,Upgraded
Joshua Farmer,Female,04/19/1952,73,02/08/2023,Peak Season Promo,Annual,Active,01/27/2024,12/28/2024,Yes,Financial Constraints,Standard Plan,04/01/2025,3,OFF,5212,336,3,FirstTime
Joshua Chase,Female,12/26/1991,33,09/18/2023,Starter Pass,Single Use,Inactive,07/20/2024,01/01/2026,Yes,Schedule Conflicts,Flexi Tier,05/11/2025,2,OFF,3570,530,4,FirstTime
Charles Grimes,Male,01/06/1953,72,09/23/2015,Starter Pass,Monthly,Active,04/04/2016,05/22/2017,Yes,Schedule Conflicts,Standard Plan,06/08/2018,5,ON,3067,413,3,Renewed
Dawn Davis,Male,03/06/1978,47,12/22/2022,Momentum Membership,Monthly,Pending,09/02/2023,07/28/2024,Yes,Schedule Conflicts,Wellness Plan,10/26/2024,5,ON,5615,330,7,Renewed
Michael Johnson,Male,06/12/1995,30,06/01/2024,Starter Pass,Annual,Inactive,07/03/2025,09/08/2026,Yes,Relocation,Standard Plan,07/03/2025,3,ON,5218,432,3,FirstTime
Joseph Roman MD,Female,08/29/1975,49,03/26/2021,Flexi Access,Seasonal,Active,10/02/2021,12/31/2022,Yes,Relocation,Standard Plan,03/30/2023,4,ON,1449,455,7,FirstTime
Justin Jimenez,Male,02/16/2003,22,04/27/2024,Starter Pass,Annual,Active,04/23/2025,05/26/2027,No,Facility Dissatisfaction,Standard Plan,05/12/2025,1,ON,3030,763,4,Reactivated
Steven Williams,Male,04/03/1971,54,11/15/2022,Momentum Membership,Trial,Active,12/02/2023,12/04/2024,No,Schedule Conflicts,Flexi Tier,02/17/2025,4,ON,3105,368,4,Upgraded
Natasha Mccarthy,Female,01/07/1960,65,03/09/2015,Peak Season Promo,Monthly,Active,12/16/2015,01/20/2018,Yes,Lack of Results,Standard Plan,04/26/2020,2,ON,5957,766,3,Transferred
Jessica Lucas,Male,02/23/2003,22,03/20/2015,Peak Season Promo,Monthly,Inactive,10/05/2015,02/22/2017,Yes,Relocation,Flexi Tier,06/22/2022,3,OFF,5005,506,5,Upgraded
John Larsen,Female,08/18/1953,71,04/20/2025,Momentum Membership,Trial,Completed,03/20/2026,03/14/2028,Yes,,Flexi Tier,03/20/2026,1,ON,505,725,7,Transferred
Albert Adams,Female,05/08/1974,51,11/22/2020,Starter Pass,Monthly,Inactive,05/24/2021,12/26/2022,Yes,,Premium Pass,07/12/2023,2,ON,5822,581,5,FirstTime
Amanda Ramsey,Female,08/18/1987,37,07/07/2017,Peak Season Promo,Trial,Paused,08/01/2018,07/04/2019,Yes,Health Issues,Infinity Pass,04/14/2024,1,OFF,2274,337,7,FirstTime
Kelly Turner,Female,10/02/1946,78,02/25/2021,Starter Pass,Trial,Active,02/05/2022,09/25/2023,Yes,Lack of Results,Starter Bundle,03/15/2022,3,ON,4465,597,7,FirstTime
Gary Thomas,Male,03/08/1997,28,04/24/2017,Peak Season Promo,Annual,Active,11/14/2017,05/27/2019,Yes,Financial Constraints,Premium Pass,09/22/2023,5,ON,1891,559,6,Gifted
Emily Weaver,Female,05/31/1951,74,08/06/2015,Momentum Membership,Annual,Inactive,02/17/2016,01/28/2018,Yes,,Standard Plan,08/18/2023,4,OFF,1082,711,3,Renewed
Shelley Weber,Female,01/13/1998,27,06/11/2016,Starter Pass,Annual,Trialing,02/01/2017,11/24/2018,No,Personal Reasons,Flexi Tier,08/04/2020,5,OFF,5604,661,7,FirstTime
Mary Cole,Female,11/05/2003,21,08/22/2019,Starter Pass,Trial,Paused,03/31/2020,10/07/2021,No,Facility Dissatisfaction,Standard Plan,03/16/2021,5,ON,3747,555,5,Renewed
Lawrence Brown,Male,05/03/1963,62,11/19/2015,Wellness Bundle,Flex Plan,Suspended,06/22/2016,04/30/2017,Yes,Financial Constraints,Standard Plan,06/22/2018,5,ON,1254,312,5,Renewed
Edward Alexander,Male,04/08/1948,77,09/18/2021,Starter Pass,Monthly,Active,09/03/2022,01/03/2024,No,Schedule Conflicts,Standard Plan,02/06/2023,0,ON,4566,487,4,FirstTime
Elizabeth Walker,Female,12/22/1950,74,09/14/2018,Flexi Access,Trial,Suspended,06/04/2019,08/03/2020,Yes,Facility Dissatisfaction,Starter Bundle,05/01/2022,0,OFF,5589,426,7,Renewed
Michael Alexander,Female,01/16/1992,33,07/03/2018,Starter Pass,Single Use,Trialing,03/08/2019,05/01/2020,Yes,,Premium Pass,01/21/2020,3,ON,5705,420,5,Upgraded
Maria Oliver,Female,07/26/1960,64,02/27/2024,Momentum Membership,Single Use,Pending,02/06/2025,01/15/2027,Yes,,Infinity Pass,04/13/2025,1,ON,2026,708,4,Renewed
Jessica Walker,Male,06/19/2000,24,03/16/2015,Peak Season Promo,Monthly,Active,11/17/2015,06/23/2017,Yes,Financial Constraints,Wellness Plan,07/10/2024,3,ON,3291,584,7,FirstTime
Jessica Molina,Female,06/23/1993,31,06/03/2018,Spring Event,Annual,Inactive,03/08/2019,05/15/2021,Yes,Injury,Infinity Pass,03/11/2025,3,ON,1073,799,6,Gifted
Martha White,Female,04/20/1952,73,06/29/2019,Flexi Access,Annual,Active,06/02/2020,03/31/2021,Yes,Personal Reasons,Premium Pass,01/25/2024,4,ON,1037,302,7,Upgraded
Dustin Wheeler,Non-binary,09/14/1982,42,05/30/2017,Starter Pass,Annual,Active,04/29/2018,09/18/2019,Yes,Facility Dissatisfaction,Standard Plan,02/16/2020,5,ON,1925,507,3,Renewed
Rebecca Moore,Female,03/31/1987,38,07/08/2015,Flexi Access,Seasonal,Active,03/16/2016,09/14/2017,No,Health Issues,Standard Plan,08/30/2021,0,OFF,5703,547,5,Transferred
Trevor Miller,Male,09/02/1958,66,11/28/2022,Starter Pass,Single Use,Inactive,12/25/2023,01/07/2025,Yes,Schedule Conflicts,Standard Plan,01/31/2025,1,ON,3927,379,3,FirstTime
Toni Rodriguez,Male,01/03/1950,75,04/08/2020,Annual Flex,Monthly,Active,11/10/2020,12/27/2021,No,Personal Reasons,Starter Bundle,03/11/2021,1,ON,1245,412,4,FirstTime
Nicholas Hoover DVM,Male,06/04/1998,27,09/10/2016,Momentum Membership,Trial,Active,05/01/2017,06/29/2019,Yes,,Velocity Tier,01/26/2022,5,ON,1578,789,6,FirstTime
James Mcclain,Female,01/28/1972,53,10/31/2018,Monthly Plus,Annual,Inactive,05/25/2019,01/09/2021,Yes,,Standard Plan,06/02/2022,2,ON,2610,595,4,Gifted
Lisa Shaw,Male,04/15/2002,23,01/10/2021,Momentum Membership,Monthly,Trialing,11/20/2021,10/19/2023,Yes,Injury,Premium Pass,10/28/2022,1,ON,620,698,5,Renewed
Nicholas Abbott,Female,11/26/1955,69,12/11/2019,Wellness Bundle,Seasonal,Suspended,08/04/2020,08/19/2021,No,Relocation,Wellness Plan,02/15/2024,5,OFF,4080,380,6,Renewed
Kenneth Hawkins,Female,12/06/1968,56,07/03/2016,Annual Flex,Annual,Active,05/16/2017,04/30/2019,Yes,,Standard Plan,07/04/2024,0,ON,4432,714,6,Reactivated
Sydney Burton,Female,12/04/1966,58,02/08/2015,Wellness Bundle,Annual,Active,10/29/2015,08/25/2017,No,,Standard Plan,06/22/2022,2,ON,3398,666,3,Gifted
George Norris,Female,01/12/1965,60,10/29/2023,Gold Promo,Monthly,Inactive,11/15/2024,08/12/2026,Yes,Financial Constraints,Infinity Pass,05/20/2025,2,ON,555,635,5,FirstTime
Cheryl Stephenson,Male,10/12/2002,22,06/02/2019,Peak Season Promo,Annual,Active,01/10/2020,08/20/2021,Yes,Relocation,Wellness Plan,04/05/2024,1,OFF,3114,588,5,Reactivated
William Branch,Female,05/26/1958,67,10/30/2022,Zen Trial,Annual,Completed,10/07/2023,04/13/2025,Yes,Relocation,Standard Plan,12/04/2023,5,ON,697,554,3,Referral
Bryan Scott,Male,09/02/1984,40,08/27/2022,Peak Season Promo,Annual,Active,08/10/2023,12/07/2024,Yes,,Standard Plan,02/07/2025,2,ON,3022,485,6,FirstTime
Andrew Jacobs,Female,12/17/1984,40,11/13/2025,Momentum Membership,Annual,Active,06/05/2026,10/08/2027,Yes,Financial Constraints,Standard Plan,06/05/2026,5,OFF,1924,490,5,Referral
Danny Mcdaniel,Female,10/14/1971,53,12/22/2024,Starter Pass,Annual,Active,01/18/2026,03/24/2028,Yes,Injury,Standard Plan,01/18/2026,0,OFF,3601,796,5,Upgraded
Billy Bates,Male,08/17/1991,33,11/14/2015,Peak Season Promo,Premium,Pending,10/31/2016,06/17/2018,Yes,Facility Dissatisfaction,Premium Pass,05/03/2017,3,OFF,648,594,4,Upgraded
John Burke,Male,08/03/1958,66,06/23/2021,Momentum Membership,Annual,Active,03/23/2022,09/18/2023,Yes,Facility Dissatisfaction,Wellness Plan,02/29/2024,3,ON,1728,544,6,Reactivated
Rebecca Thornton,Male,11/18/2009,15,11/28/2021,Flexi Access,Single Use,Active,07/01/2022,12/01/2023,Yes,Found Alternative,Premium Pass,10/27/2024,1,ON,3987,518,7,FirstTime
Terri Jones,Female,09/27/1990,34,03/15/2022,Starter Pass,Annual,Completed,12/17/2022,05/27/2024,Yes,Schedule Conflicts,Premium Pass,05/27/2025,2,ON,3649,527,6,Gifted
Mandy Perez,Male,07/14/1949,75,05/24/2021,Gold Promo,Annual,Active,02/01/2022,08/30/2023,Yes,Health Issues,Premium Pass,03/24/2022,5,ON,4740,575,3,Transferred
Destiny Flores,Female,12/27/2007,17,05/26/2020,Starter Pass,Annual,Guest,05/11/2021,08/31/2022,No,,Flexi Tier,08/14/2022,3,ON,551,477,6,Reactivated
Lindsey Brewer,Male,02/25/1957,68,04/12/2018,Momentum Membership,Annual,Inactive,10/24/2018,08/24/2020,No,Lack of Results,Premium Pass,02/14/2019,4,ON,2808,670,7,FirstTime
Brandon Clark,Female,11/04/1961,63,10/13/2016,Momentum Membership,Single Use,Active,07/16/2017,09/03/2018,Yes,,Premium Pass,12/06/2018,0,ON,5712,414,5,FirstTime
Ashley Curtis,Male,02/12/1996,29,08/17/2017,Starter Pass,Monthly,Guest,06/08/2018,11/14/2019,No,Financial Constraints,Infinity Pass,03/02/2025,0,ON,2252,524,4,FirstTime
Brianna Bell,Male,06/05/1994,31,03/15/2016,Peak Season Promo,Annual,Active,03/30/2017,02/27/2019,Yes,Schedule Conflicts,Standard Plan,11/23/2020,5,ON,1440,699,3,FirstTime
Courtney Richard,Male,04/04/1975,50,08/08/2022,Starter Pass,Monthly,Active,03/23/2023,04/13/2025,Yes,Financial Constraints,Standard Plan,09/04/2023,1,OFF,5036,752,5,Reactivated
Henry Nunez,Female,06/22/1948,76,01/20/2025,Gold Promo,Trial,Active,02/23/2026,09/04/2027,Yes,Relocation,Premium Pass,02/23/2026,0,OFF,796,558,4,Upgraded
Jessica Patterson,Male,10/09/1987,37,10/22/2021,Wellness Bundle,Annual,Guest,11/13/2022,09/09/2024,Yes,Health Issues,Standard Plan,04/14/2024,3,ON,3104,666,3,Reactivated
Aaron Waters,Male,07/08/1974,50,05/28/2023,Starter Pass,Trial,Inactive,05/26/2024,09/06/2025,Yes,Found Alternative,Standard Plan,03/11/2025,2,ON,2846,468,7,Reactivated
Kari Velez,Female,11/08/1957,67,10/26/2019,Zen Trial,Trial,Pending,09/04/2020,05/19/2022,Yes,,Flexi Tier,03/11/2021,4,OFF,3022,622,4,Renewed
Janet Brown,Male,11/26/1986,38,12/17/2024,Gold Promo,Monthly,Completed,07/28/2025,04/02/2027,Yes,,Wellness Plan,07/28/2025,3,ON,1667,613,3,FirstTime
Christine Bright,Female,10/17/1959,65,07/08/2017,Flexi Access,Monthly,Trialing,03/29/2018,02/14/2020,Yes,Relocation,Wellness Plan,12/09/2022,0,ON,1112,687,7,Upgraded
David Campbell,Female,11/30/1949,75,02/17/2018,Gold Promo,Premium,Active,03/23/2019,07/27/2020,Yes,Relocation,Infinity Pass,07/05/2019,1,ON,5486,492,6,FirstTime
Anna Hamilton,Female,03/06/2010,15,09/16/2021,Peak Season Promo,Trial,Active,04/07/2022,05/12/2024,Yes,Schedule Conflicts,Premium Pass,11/22/2024,5,ON,973,766,3,Gifted
Jessica Fletcher,Female,01/19/1960,65,11/23/2023,Flexi Access,Flex Plan,Inactive,06/16/2024,12/10/2025,Yes,,Standard Plan,03/10/2025,4,ON,565,542,6,Referral
Patricia Pope,Female,03/07/1987,38,11/17/2018,Peak Season Promo,Trial,Active,07/25/2019,09/09/2020,No,,Wellness Plan,12/07/2022,5,ON,4522,412,5,Renewed
Marissa Butler,Female,08/27/1955,69,03/29/2021,Annual Flex,Monthly,Active,03/06/2022,01/23/2024,Yes,Health Issues,Standard Plan,12/18/2023,2,OFF,955,688,5,Renewed
Joseph Dominguez,Female,12/18/1980,44,01/08/2023,Starter Pass,Trial,Active,09/12/2023,09/29/2024,Yes,Relocation,Wellness Plan,10/22/2024,2,ON,5906,383,4,Gifted
Kara Brown,Female,10/10/1989,35,08/12/2025,Starter Pass,Single Use,Trialing,03/05/2026,01/20/2027,Yes,Financial Constraints,Standard Plan,03/05/2026,2,ON,1994,321,3,Upgraded
Thomas Johnson,Female,08/22/1970,54,06/30/2024,Starter Pass,Annual,Active,06/11/2025,02/03/2027,Yes,Health Issues,Standard Plan,06/11/2025,3,ON,2706,602,6,FirstTime
Brandon Gray,Female,07/07/1977,47,05/10/2023,Peak Season Promo,Monthly,Active,11/22/2023,05/04/2025,Yes,Relocation,Flexi Tier,01/07/2025,3,ON,5474,529,5,FirstTime
Amy Chandler,Male,03/01/1947,78,10/07/2021,Starter Pass,Monthly,Paused,04/21/2022,06/10/2024,Yes,Health Issues,Standard Plan,04/21/2025,4,ON,5586,781,7,FirstTime
Jorge Harris,Female,07/30/1955,69,04/22/2023,Peak Season Promo,Annual,Suspended,04/21/2024,03/17/2025,Yes,Relocation,Standard Plan,11/01/2024,0,OFF,2560,330,7,FirstTime
Kyle Mccall,Male,09/05/2000,24,02/15/2016,Peak Season Promo,Annual,Active,09/01/2016,08/04/2017,Yes,,Wellness Plan,01/06/2017,0,ON,1725,337,3,Reactivated
David Roman,Male,05/19/1999,26,10/28/2022,Peak Season Promo,Flex Plan,Trialing,09/15/2023,02/25/2025,Yes,,Standard Plan,03/19/2024,5,ON,5239,529,7,Upgraded
James Green,Male,09/10/1981,43,07/01/2024,Starter Pass,Annual,Inactive,04/17/2025,08/13/2026,Yes,Schedule Conflicts,Standard Plan,05/27/2025,0,OFF,2132,483,4,Upgraded
Zachary Gill,Female,03/18/1954,71,02/23/2016,Momentum Membership,Trial,Active,11/16/2016,11/29/2017,Yes,Financial Constraints,Starter Bundle,10/12/2024,2,ON,3500,378,6,Upgraded
Corey Nelson,Male,11/25/1963,61,09/21/2015,Annual Flex,Annual,Pending,05/07/2016,07/26/2017,Yes,,Premium Pass,11/06/2017,5,OFF,4936,445,6,FirstTime
Kim Casey,Female,07/28/2002,22,04/15/2017,Momentum Membership,Monthly,Inactive,12/23/2017,02/28/2019,Yes,Health Issues,Standard Plan,09/06/2021,3,ON,5922,432,4,Referral
Robert Ingram,Male,09/04/1972,52,05/31/2020,Starter Pass,Annual,Completed,01/19/2021,12/18/2022,Yes,Financial Constraints,Standard Plan,02/08/2022,5,ON,4538,698,3,Reactivated
Daniel Contreras,Male,02/29/2008,17,02/05/2019,Peak Season Promo,Single Use,Paused,11/01/2019,09/06/2021,Yes,,Standard Plan,03/11/2020,3,ON,911,675,7,Reactivated
Jesse Gill,Female,08/11/1976,48,12/04/2023,Peak Season Promo,Annual,Active,07/17/2024,01/23/2026,Yes,Relocation,Standard Plan,10/16/2024,2,ON,4218,555,7,FirstTime
Alexis Maxwell,Female,08/31/1967,57,06/01/2017,Starter Pass,Single Use,Active,12/16/2017,12/17/2019,Yes,Health Issues,Standard Plan,02/09/2018,5,OFF,3872,731,4,FirstTime
Nicole Waller,Female,06/20/1983,41,11/30/2016,Starter Pass,Trial,Guest,09/18/2017,10/17/2018,Yes,Financial Constraints,Wellness Plan,03/03/2022,5,ON,4695,394,3,Upgraded
Manuel Murphy,Female,07/16/1961,63,02/01/2025,Starter Pass,Monthly,Active,11/19/2025,07/06/2027,No,,Premium Pass,11/19/2025,3,ON,4895,594,6,Referral
Todd White,Female,06/15/1971,54,01/07/2020,Starter Pass,Annual,Inactive,10/14/2020,02/22/2022,Yes,Found Alternative,Flexi Tier,10/10/2024,1,OFF,1529,496,5,FirstTime
Jessica Rivera,Female,09/08/1948,76,11/03/2022,Momentum Membership,Annual,Pending,07/03/2023,07/29/2024,Yes,Found Alternative,Flexi Tier,04/22/2025,3,ON,5995,392,4,Reactivated
James Gordon DDS,Male,01/19/2003,22,06/07/2024,Starter Pass,Flex Plan,Active,01/20/2025,01/29/2027,Yes,Relocation,Flexi Tier,02/15/2025,5,OFF,1759,739,5,Renewed
Pamela Dickerson,Female,07/22/1958,66,07/07/2019,Annual Flex,Annual,Active,05/17/2020,06/17/2021,Yes,Relocation,Infinity Pass,04/20/2025,4,OFF,3491,396,6,FirstTime
Monica Mcdonald,Female,03/23/1946,79,04/20/2019,Zen Trial,Single Use,Active,11/14/2019,09/27/2021,Yes,,Standard Plan,07/21/2020,2,OFF,5303,683,4,FirstTime
Carly Griffin,Female,09/17/1995,29,11/27/2020,Starter Pass,Flex Plan,Active,10/26/2021,10/08/2022,No,Financial Constraints,Standard Plan,09/29/2022,0,OFF,4110,347,4,Renewed
